time,heartrate
14:06:45,88
14:06:50,83
14:06:55,79
14:07:10,79
14:07:25,79
14:07:40,79
14:07:55,79
14:08:00,80
14:08:10,81
14:08:25,81
14:08:35,84
14:08:50,84
14:09:00,85
14:09:15,85
14:09:25,86
14:09:40,86
14:09:45,86
14:09:60,87
14:10:05,86
14:10:10,87
14:10:25,87
14:10:40,87
14:10:55,87
14:10:60,83
14:11:05,77
14:11:15,79
14:11:20,80
14:11:35,80
14:11:40,82
14:11:45,83
14:11:60,83
14:12:05,84
14:12:20,84
14:12:25,89
14:12:30,90
14:12:35,91
14:12:40,92
14:12:45,95
14:12:50,97
14:12:55,98
14:12:60,99
14:13:05,100
14:13:20,100
14:13:35,103
14:13:50,103
14:14:05,103
14:14:10,105
14:14:15,106
14:14:30,106
14:14:35,107
14:14:45,108
14:14:50,106
14:15:05,106
14:15:10,110
14:15:15,108
14:15:20,107
14:15:25,105
14:15:40,105
14:15:55,105
14:15:60,102
14:16:05,103
14:16:20,103
14:16:35,103
14:16:50,103
14:17:05,103
14:17:20,103
14:17:30,105
14:17:40,107
14:17:55,107
14:18:10,107
14:18:25,107
14:18:40,107
14:18:45,105
14:18:50,99
14:19:05,99
14:19:20,99
14:19:30,100
14:19:45,100
14:19:55,102
14:20:10,102
14:20:20,100
14:20:25,99
14:20:30,100
14:20:35,101
14:20:40,100
14:20:45,101
14:20:50,102
14:20:55,100
14:20:60,99
14:21:05,97
14:21:10,93
14:21:15,89
14:21:30,89
14:21:30,89
14:21:35,88
14:21:45,87
14:21:50,85
14:21:55,77
14:21:60,78
14:22:05,79
14:22:20,79
14:22:25,76
14:22:40,76
14:22:45,80
14:22:50,81
14:23:05,81
14:23:10,82
14:23:20,82
14:23:35,82
14:23:45,83
14:23:60,83
14:24:15,83
14:24:25,82
14:24:30,79
14:24:35,80
14:24:40,82
14:24:45,83
14:24:55,82
14:25:10,82
14:25:10,82
14:25:20,79
14:25:25,78
14:25:40,78
14:29:15,76
14:29:20,77
14:29:30,78
14:29:40,77
14:29:45,77
14:29:50,76
14:29:55,76
14:30:05,77
14:30:10,76
14:30:15,74
14:30:20,76
14:30:35,76
14:30:50,76
14:30:55,77
14:31:10,77
14:31:20,73
14:31:35,73
14:31:50,73
14:31:55,74
14:31:60,75
14:32:05,76
14:32:15,77
14:32:20,79
14:32:35,79
14:32:40,78
14:32:55,78
14:32:55,78
14:33:05,79
14:33:15,78
14:33:30,78
14:33:45,78
14:33:60,78
14:34:10,76
14:34:25,76
14:34:40,76
14:34:55,76
14:35:10,76
14:35:25,76
14:35:40,75
14:35:45,76
14:35:60,76
14:36:15,76
14:36:25,75
14:36:40,75
14:36:50,75
14:36:55,76
14:37:10,76
14:37:25,76
14:37:35,77
14:37:45,78
14:37:50,79
14:37:60,79
14:38:10,80
14:38:25,80
14:38:40,80
14:38:55,80
14:38:60,82
14:39:15,82
14:39:20,82
14:39:25,82
14:39:40,82
14:39:55,82
14:39:60,82
14:40:05,87
14:40:10,84
14:40:15,83
14:40:30,83
14:40:40,83
14:40:55,83
14:41:05,79
14:41:10,77
14:41:25,77
14:41:30,78
14:41:45,78
14:41:50,84
14:41:55,82
14:42:10,82
14:42:15,80
14:42:20,80
