,time,heartrate,steps,elevation
528,59880,96,9,0.0
529,60060,112,0,0.0
530,60240,107,4,0.0
531,60300,101,0,0.0
532,60600,76,0,0.0
533,60900,101,7,0.0
534,60960,96,5,0.0
535,61080,93,0,0.0
536,61200,99,8,0.0
537,61320,105,7,0.0
538,61500,107,28,0.0
539,61560,111,25,0.0
540,61680,112,10,0.0
541,61740,114,0,0.0
542,61800,111,21,0.0
543,61920,106,22,0.0
544,61980,98,0,0.0
545,62160,85,84,0.0
546,62220,94,28,0.0
547,62580,82,0,0.0
548,62820,72,0,0.0
549,63000,62,0,0.0
550,63060,62,0,0.0
551,63120,63,0,0.0
552,63360,85,32,0.0
553,63420,88,17,0.0
554,63480,98,0,0.0
555,63660,102,0,0.0
556,63780,99,0,0.0
557,63840,89,4,0.0
558,63960,82,0,0.0
559,64020,80,0,0.0
560,64200,82,0,0.0
561,64380,82,0,0.0
562,64440,74,8,0.0
563,64680,96,0,0.0
564,64740,99,6,0.0
565,64920,85,0,0.0
566,64980,92,0,0.0
567,65100,86,0,0.0
568,65160,82,10,0.0
569,65220,82,0,0.0
570,65340,84,0,0.0
571,65580,72,0,0.0
572,65820,86,0,0.0
573,65940,84,8,0.0
574,66060,89,6,0.0
575,66120,93,0,0.0
576,66300,75,0,0.0
577,66360,89,0,0.0
578,66480,93,0,0.0
579,66780,95,24,0.0
580,66840,95,10,0.0
581,66960,92,0,0.0
582,67140,90,0,0.0
583,67260,89,0,0.0
584,67380,93,0,0.0
585,67560,89,0,0.0
586,67620,97,0,0.0
587,67740,97,0,0.0
588,67860,88,0,0.0
589,67920,83,0,0.0
590,67980,83,0,0.0
591,68280,92,0,0.0
592,68400,89,0,0.0
593,68520,92,6,0.0
594,68640,93,0,0.0
595,69240,89,21,0.0
596,69300,94,44,0.0
597,69420,106,52,0.0
598,69480,110,20,0.0
599,69540,105,0,0.0
600,69600,98,34,0.0
601,69660,98,49,0.0
602,69780,112,94,0.0
603,69840,100,94,0.0
604,69960,103,10,0.0
605,70020,116,11,0.0
606,70140,103,0,0.0
607,70200,97,0,0.0
608,70260,94,49,0.0
609,70320,98,83,0.0
610,70560,108,106,0.0
611,70620,107,108,0.0
612,70680,109,98,6.0960001945495605
613,70800,103,52,0.0
614,70860,103,4,0.0
615,71100,109,107,0.0
616,71160,105,109,0.0
617,71280,104,109,0.0
618,71340,108,108,0.0
619,71400,107,100,0.0
620,71460,113,72,0.0
621,71520,109,33,0.0
622,71580,100,0,0.0
623,71760,107,6,0.0
624,71820,110,6,0.0
625,71880,108,16,0.0
626,72180,73,0,0.0
627,72840,91,0,0.0
628,73140,95,0,0.0
629,73200,84,0,0.0
630,73380,88,0,0.0
631,73500,90,0,0.0
632,73620,86,7,0.0
633,73740,90,0,0.0
634,73800,94,17,0.0
635,74100,101,5,0.0
636,74280,83,0,0.0
637,74340,87,0,0.0
638,74460,86,0,0.0
639,74520,79,0,0.0
640,74580,80,0,0.0
641,74640,82,0,0.0
642,74700,84,0,0.0
643,74760,84,0,0.0
644,75000,93,0,0.0
645,75180,81,0,0.0
646,75240,81,0,0.0
647,75360,90,0,0.0
648,75540,92,0,0.0
649,75600,90,0,0.0
650,75720,94,0,0.0
651,75840,81,0,0.0
652,76140,87,18,0.0
653,76200,78,0,0.0
654,76440,77,0,0.0
655,76500,82,0,0.0
656,76560,73,22,0.0
657,76620,78,4,0.0
658,76680,75,0,0.0
659,76740,67,0,0.0
