time,value
06:20:06,50
06:20:11,49
06:20:16,50
06:20:31,52
06:20:36,52
06:20:41,52
06:20:51,51
06:20:56,52
06:21:11,52
06:21:16,51
06:21:21,50
06:21:26,49
06:21:31,48
06:21:41,47
06:21:51,48
06:21:56,48
06:22:06,48
06:22:11,49
06:22:16,49
06:22:31,49
06:22:36,49
06:22:41,48
06:22:51,47
06:22:56,48
06:23:06,49
06:23:11,49
06:23:16,49
06:23:23,49
06:23:38,50
06:23:48,49
06:23:58,48
06:24:13,48
06:24:18,49
06:24:33,49
06:24:43,50
06:24:48,52
06:24:53,53
06:24:58,53
06:25:08,53
06:25:13,53
06:25:23,53
06:25:28,52
06:25:33,51
06:25:43,50
06:25:48,49
06:25:53,48
06:26:08,48
06:26:18,47
06:26:23,46
06:26:33,47
06:26:48,47
06:26:53,49
06:26:58,50
06:27:05,53
06:27:10,52
06:27:15,53
06:27:30,54
06:27:35,53
06:27:45,53
06:27:50,52
06:28:00,51
06:28:05,50
06:28:20,50
06:28:25,52
06:28:40,52
06:28:45,68
06:28:50,66
06:28:55,60
06:29:00,59
06:29:05,58
06:29:10,55
06:29:20,56
06:29:25,58
06:29:30,56
06:29:35,55
06:29:40,54
06:29:45,52
06:29:50,50
06:29:56,49
06:30:01,47
06:30:11,46
06:30:26,46
06:30:31,46
06:30:36,47
06:30:46,48
06:30:56,49
06:31:01,48
06:31:11,52
06:31:16,53
06:31:21,54
06:31:26,53
06:31:31,54
06:31:41,53
06:31:56,53
06:32:01,54
06:32:06,53
06:32:11,55
06:32:16,58
06:32:21,56
06:32:26,54
06:32:36,53
06:32:41,51
06:32:56,51
06:33:03,52
06:33:08,51
06:33:13,52
06:33:18,51
06:33:23,50
06:33:28,51
06:33:33,50
06:33:38,51
06:33:48,50
06:33:58,49
06:34:13,49
06:34:23,48
06:34:28,49
06:34:33,50
06:34:38,52
06:34:48,51
06:35:03,51
06:35:13,55
06:35:23,56
06:35:38,56
06:35:48,64
06:35:53,65
06:35:58,64
06:36:03,67
06:36:08,67
06:36:15,66
06:36:20,63
06:36:25,61
06:36:30,58
06:36:35,55
06:36:40,54
06:36:45,53
06:36:50,52
06:36:55,53
06:37:10,53
06:37:15,67
06:37:30,65
06:37:35,65
06:37:40,64
06:37:45,63
06:37:50,61
06:37:55,59
06:38:00,55
06:38:10,54
06:38:25,54
06:38:30,51
06:38:45,51
06:38:50,54
06:39:05,54
06:39:06,53
06:39:16,52
06:39:21,51
06:39:26,50
06:39:36,49
06:39:41,49
06:39:46,49
06:39:51,49
06:40:01,52
06:40:06,55
06:40:11,56
06:40:16,56
06:40:31,56
06:40:46,55
06:42:23,53
06:42:28,53
06:42:43,53
06:42:48,52
06:42:58,53
06:43:03,54
06:43:18,52
06:43:23,51
06:43:38,51
06:43:53,51
06:43:58,52
06:44:03,53
06:44:18,53
06:44:33,53
06:44:38,54
06:44:43,55
06:44:58,55
06:45:13,55
06:45:18,53
06:45:23,52
06:45:33,51
06:45:38,50
06:45:43,48
06:45:58,48
06:46:08,50
06:46:15,52
06:46:30,53
06:46:45,52
06:47:00,52
06:47:05,53
06:47:10,54
06:47:20,52
06:47:25,53
06:47:40,53
06:47:55,54
06:48:00,51
06:48:15,51
06:48:20,54
06:48:25,55
06:48:40,55
06:48:50,55
06:49:05,55
06:49:15,54
06:49:20,54
06:49:30,53
06:49:35,53
06:49:50,53
06:50:05,54
06:50:07,54
06:50:17,67
06:50:22,71
06:50:27,70
06:50:32,67
06:50:37,65
06:50:42,61
06:50:47,59
06:50:52,56
06:50:57,54
06:51:02,52
06:51:07,50
06:51:12,49
06:51:27,49
06:51:42,51
06:51:47,50
